baseline_MRs,baseline_MRs,baseline_MRs,baseline_MRs,baseline_MRs,baseline_MRs,conditional_MRs,conditional_MRs,conditional_MRs,conditional_MRs,conditional_MRs,conditional_MRs,full_GE,full_GE,full_GE,full_GE,full_GE,full_GE
x,success,status,nfev,fun,message,x,success,status,nfev,fun,message,x,success,status,nfev,fun,message
1.3121712209752687,True,1.0,71.0,2.025912770875493e-11,The solution converged.,1.3149613866320449,True,1.0,68.0,-9.816836232801052e-10,The solution converged.,1.3149613853330477,True,1.0,63.0,0.0,The solution converged.
1.2359440472172663,,,,4.0848102678126e-11,,1.239972151924788,,,,5.317186690945164e-10,,1.239972152594567,,,,0.0,
1.418157605584735,,,,-5.916445111608937e-11,,1.422777829330734,,,,-3.7147929177194783e-10,,1.4227778288104862,,,,-4.440892098500626e-16,
1.2234785470072185,,,,-5.14384090877229e-11,,1.2264452809655217,,,,-8.394840378400659e-10,,1.2264452799329297,,,,0.0,
1.284755130883224,,,,-3.766764677948231e-12,,1.2889356888094579,,,,2.3502411128362155e-10,,1.2889356891196002,,,,1.1102230246251565e-16,
0.6404498619766273,,,,-4.23645563074615e-11,,0.6425103710818079,,,,-1.0707768005602247e-10,,0.6425103710119348,,,,-2.220446049250313e-16,
0.8804491865226576,,,,-2.2717383529879953e-11,,0.8832228530043991,,,,-3.0987967747364564e-10,,0.8832228527332082,,,,0.0,
0.8647708170298781,,,,4.699374223093855e-11,,0.8674971884706085,,,,1.0413925277674707e-10,,0.8674971885631689,,,,-2.220446049250313e-16,
1.1030155706348268,,,,7.169154159214486e-12,,1.106531273416667,,,,1.1810674660495124e-10,,1.1065312735521533,,,,-6.661338147750939e-16,
1.0537574713628772,,,,5.924705170912148e-12,,1.0571139815452102,,,,1.201301280673306e-10,,1.0571139816787383,,,,1.1102230246251565e-16,
1.1046387284629808,,,,6.214251335734389e-11,,1.1081856883278354,,,,-1.7614467662241395e-09,,1.1081856863797246,,,,1.1102230246251565e-16,
0.9991462743258255,,,,5.847911044298826e-11,,1.002335114119,,,,3.9636516291352564e-10,,1.002335114524546,,,,2.220446049250313e-16,
1.5782844728332939,,,,-1.7764900661632055e-11,,1.5814871502161492,,,,1.9351575897275097e-10,,1.5814871505301735,,,,-2.220446049250313e-16,
1.244170396026082,,,,1.0141110173833567e-11,,1.2482972943540727,,,,3.8530922896740094e-10,,1.248297294842782,,,,-4.440892098500626e-16,
0.8556806097738708,,,,1.3931766851271732e-10,,0.8583323053951647,,,,8.170247811634113e-10,,0.8583323061030871,,,,5.551115123125783e-16,
1.1869167370512557,,,,-4.8502313276799214e-11,,1.190673968570481,,,,1.2153642536816278e-09,,1.190673970039061,,,,-2.220446049250313e-16,
1.3378902166928834,,,,5.3397952726186304e-11,,1.3410844403953215,,,,7.8607753639659e-10,,1.3410844414798826,,,,0.0,
1.0177276892124523,,,,7.950362590491977e-11,,1.02096721751485,,,,-8.351452862598308e-11,,1.0209672174388835,,,,1.1102230246251565e-16,
0.9127553897517003,,,,5.082967380332093e-11,,0.9157924907785796,,,,3.723092945051576e-10,,0.9157924911211278,,,,-2.220446049250313e-16,
0.1424718988102332,,,,1.1749268225003107e-11,,0.14206656419167527,,,,-8.383693739233422e-11,,0.1420665641978245,,,,0.0,
0.11474531750631659,,,,1.7465695556495575e-11,,0.11440766453027011,,,,7.000222623787522e-11,,0.11440766452804398,,,,0.0,
0.10695459927328616,,,,3.872280274208606e-11,,0.10663920179399881,,,,1.2883438760269428e-10,,0.106639201790043,,,,1.1102230246251565e-16,
0.10435185197458388,,,,9.988787574854996e-12,,0.1039328609800658,,,,-1.3767853523916074e-10,,0.10393286098330087,,,,1.1102230246251565e-16,
0.12147415141474396,,,,1.4157897076927384e-11,,0.12111950697763149,,,,3.5612623960901146e-11,,0.12111950697600225,,,,0.0,
0.06896948006862964,,,,2.4488189254157078e-12,,0.06876960919791207,,,,1.1697531832055574e-11,,0.06876960919847973,,,,0.0,
0.11703668771678682,,,,6.292077969760612e-12,,0.116679737217101,,,,-2.169686652564451e-11,,0.11667973721746305,,,,-4.440892098500626e-16,
0.08216553862946123,,,,2.979005930825451e-11,,0.08191888190698092,,,,3.679057059002844e-11,,0.08191888190703923,,,,0.0,
0.09813611787002756,,,,1.4186318786357788e-11,,0.09784350249873573,,,,2.1134316519066942e-11,,0.09784350249841976,,,,-2.220446049250313e-16,
0.09963655738189929,,,,1.6684431614066852e-11,,0.09933970033298194,,,,6.105582706084078e-11,,0.09933970033227829,,,,-2.220446049250313e-16,
0.14282970120519836,,,,1.3572254431437614e-11,,0.14239581379122637,,,,-8.763745285023106e-11,,0.14239581379730207,,,,0.0,
0.09920487424614792,,,,2.7855495687845178e-11,,0.09891035877631611,,,,7.106892851993507e-11,,0.0989103587750623,,,,0.0,
0.1571614904081497,,,,9.638845277493147e-12,,0.1564306807219994,,,,2.2291946066843593e-11,,0.15643068071841015,,,,0.0,
0.12456065003375125,,,,1.4933276837325593e-11,,0.12385031916335788,,,,3.834377260147903e-11,,0.12385031916143735,,,,3.3306690738754696e-16,
0.12207904775521866,,,,2.407873900267532e-11,,0.12172140391431431,,,,7.898448561860505e-11,,0.12172140391000559,,,,2.220446049250313e-16,
0.1281551694812141,,,,4.120037644383956e-12,,0.127764768640732,,,,1.6399526181487545e-10,,0.1277647686324366,,,,0.0,
0.11465638098546499,,,,2.5165869388388273e-11,,0.11420643441707298,,,,2.508914187515643e-10,,0.11420643440872312,,,,2.220446049250313e-16,
0.057381093063180975,,,,7.510192467918841e-11,,0.05720329135302486,,,,-5.782196943471263e-11,,0.05720329135190569,,,,0.0,
0.09704955480333952,,,,1.1945999744966684e-11,,0.09657891901550629,,,,4.3648196168533104e-11,,0.09657891901528774,,,,-2.220446049250313e-16,
0.1020937332838628,,,,2.742583937731524e-12,,0.10147703298013198,,,,1.864952636765338e-12,,0.10147703298033942,,,,-2.220446049250313e-16,
,,,,,,,,,,,,1.0007125210222156,,,,8.554046360131906e-12,
,,,,,,,,,,,,1.000737013393422,,,,8.982925514544604e-12,
,,,,,,,,,,,,1.0007385845692904,,,,9.008460644110983e-12,
,,,,,,,,,,,,1.0010063204690265,,,,8.946288154731974e-12,
,,,,,,,,,,,,1.0007312110648754,,,,8.88478179916774e-12,
,,,,,,,,,,,,1.00072580534635,,,,8.791412042796765e-12,
,,,,,,,,,,,,1.0007639324057862,,,,9.407474799161264e-12,
,,,,,,,,,,,,1.0007518983993107,,,,9.223621866283338e-12,
,,,,,,,,,,,,1.0007468246960696,,,,9.143907853115252e-12,
,,,,,,,,,,,,1.0007462398327414,,,,9.134248912801013e-12,
,,,,,,,,,,,,1.0007608940448647,,,,9.362399744361483e-12,
,,,,,,,,,,,,1.0007435702081737,,,,9.090950214840632e-12,
,,,,,,,,,,,,1.0011659043577779,,,,7.707168236947837e-13,
,,,,,,,,,,,,1.0014307758993621,,,,-3.940558990223053e-11,
,,,,,,,,,,,,1.000733746168598,,,,8.927636407918271e-12,
,,,,,,,,,,,,1.0007630317485015,,,,9.393930078260837e-12,
,,,,,,,,,,,,1.0009834895579457,,,,9.471423645379673e-12,
,,,,,,,,,,,,1.0007761565699125,,,,9.581113680212638e-12,
,,,,,,,,,,,,1.0012160474290832,,,,-3.845812557301542e-12,
,,,,,,,,,,,,1.0015158598329994,,,,-6.257172557866397e-11,
